Id,Mid,BPM,,Ratio,MusicJson,Musician,Acceleration,AniID,BridgeAniID
1601,100013,120,0.5,240,Nocturne Op.9 No.2,Chopin,,1024001,2048001
1602,100013,139,0.5,278,Nocturne Op.9 No.2,,,1024002,2048002
1603,100013,156,0.5,312,Nocturne Op.9 No.2,,,1024008,
1701,100140,200,1,200,The Blue Danube,Johann Strauss II,,,
1702,100140,250,1,250,The Blue Danube,,,,
1703,100140,275,1,275,The Blue Danube,,,,
1801,100014,115,0.5,230,The Ruins of Athens No.4,Beethoven,,1024001,2048001
1802,100014,134,0.5,268,The Ruins of Athens No.4,,,1024002,2048002
1803,100014,146,0.5,292,The Ruins of Athens No.4,,,1024008,
1901,100015,135,0.5,270,Waltz in A minor,Chopin,,1024001,2048001
1902,100015,153,0.5,306,Waltz in A minor,,,1024002,2048002
1903,100015,167,0.5,334,Waltz in A minor,,,1024008,
2001,100016,130,0.5,260,Gavotte,Francois Joseph Gossec,,,
2002,100016,148,0.5,296,Gavotte,,,,
2003,100016,162,0.5,324,Gavotte,,,,
2101,100073,180,1,180,Ode An Die Freude,Beethoven,,,
2102,100073,95,0.5,190,Ode An Die Freude,,,,
2103,100073,200,1,200,Ode An Die Freude,,,,
2201,100017,135,0.5,270,Por Una Cabeza,Carlos Gardel,,,
2202,100017,153,0.5,306,Por Una Cabeza,,,,
2203,100017,167,0.5,334,Por Una Cabeza,,,,
2301,100020,130,0.5,260,Waltz Op.64 No.1,Chopin,,,
2302,100020,148,0.5,296,Waltz Op.64 No.1,,,,
2303,100020,162,0.5,324,Waltz Op.64 No.1,,,,
2401,100018,80,0.25,320,Moments Musicaux,Schubert,,,
2402,100018,86,0.25,344,Moments Musicaux,,,,
2403,100018,91,0.25,364,Moments Musicaux,,,,
2501,100084,100,0.5,200,Oh! Susanna,American Folk Music,,,
2502,100084,103,0.5,206,Oh! Susanna,,,,
2503,100084,105,0.5,210,Oh! Susanna,,,,
2601,100023,70,0.25,280,Prelude in C Major No.1,J.S. Bach,,,
2602,100023,73,0.25,292,Prelude in C Major No.1,,,,
2603,100023,75,0.25,300,Prelude in C Major No.1,,,,
2701,100024,150,0.5,300,Tritsch Tratsch Polka,Johann Strauss II,,,
2702,100024,155,0.5,310,Tritsch Tratsch Polka,,,,
2703,100024,160,0.5,320,Tritsch Tratsch Polka,,,,
2801,100021,155,0.5,310,Dance of the Sugar Fairy,Tchaikovsky,,,
2802,100021,163,0.5,326,Dance of the Sugar Fairy,,,,
2803,100021,170,0.5,340,Dance of the Sugar Fairy,,,,
2901,100139,100,0.5,200,Auld Lang Syne,Robert Burns,,,
2902,100139,105,0.5,210,Auld Lang Syne,,,,
2903,100139,65,0.25,260,Auld Lang Syne,,,,
3001,100026,72,0.25,288,Sonata in D Major K311,Mozart,,,
3002,100026,76,0.25,304,Sonata in D Major K311,,,,
3003,100026,78,0.25,312,Sonata in D Major K311,,,,
3101,100057,120,0.5,240,Bridal Chorus,Wagner,,,
3102,100057,125,0.5,250,Bridal Chorus,,,,
3103,100057,130,0.5,260,Bridal Chorus,,,,
3201,100025,175,0.5,350,Cancan,Jacques Offenbach,,,
3202,100025,180,0.5,360,Cancan,,,,
3203,100025,185,0.5,370,Cancan,,,,
3301,100428,100,0.5,200,Piano Tiles,Congfei Wei,,,
3302,100428,100,0.5,200,Piano Tiles,,,,
3303,100428,100,0.5,200,Piano Tiles,,,,
3401,100060,150,0.5,300,Minuet in G,J.S. Bach,,,
3402,100060,165,0.5,330,Minuet in G,,,,
3403,100060,177,0.5,354,Minuet in G,,,,
3501,100063,75,0.25,300,Harmonious Blacksmith,Handel,,,
3502,100063,78,0.25,312,Harmonious Blacksmith,,,,
3503,100063,80,0.25,320,Harmonious Blacksmith,,,,
3601,100027,165,0.5,330,Symphony No.40 in g,Mozart,,,
3602,100027,170,0.5,340,Symphony No.40 in g,,,,
3603,100027,175,0.5,350,Symphony No.40 in g,,,,
3701,100681,100,0.5,388,Between the lines,Pi,,,
3702,100681,102,0.5,204,Between the lines,,,,
3703,100681,104,0.5,208,Between the lines,,,,
3801,100066,130,0.5,260,Four Seasons - Spring,Antonio Vivaldi,,,
3802,100066,142,0.5,284,Four Seasons - Spring,,,,
3803,100066,78,0.25,312,Four Seasons - Spring,,,,
3901,100029,80,0.25,320,Sonatina Op.36 No.3,Kuhlau,,,
3902,100029,83,0.25,332,Sonatina Op.36 No.3,,,,
3903,100029,85,0.25,340,Sonatina Op.36 No.3,,,,
4001,100030,80,0.25,320,Etude Op.299 No.39,Czerny,,,
4002,100030,85,0.25,340,Etude Op.299 No.39,,,,
4003,100030,90,0.25,360,Etude Op.299 No.39,,,,
4101,100433,60,0.25,240,Build The Dream,Shih Che Huang,,,
4102,100433,60,0.25,240,Build The Dream,,,,
4103,100433,130,0.5,260,Build The Dream,,,,
4201,100069,100,0.5,200,A La Claire Fontaine,French Folk Music,,,
4202,100069,105,0.5,210,A La Claire Fontaine,,,,
4203,100069,110,0.5,220,A La Claire Fontaine,,,,
4301,100032,175,0.5,350,Csikos Post,Hermann Necke,,,
4302,100032,178,0.5,356,Csikos Post,,,,
4303,100032,180,0.5,360,Csikos Post,,,,
4401,100033,170,0.5,340,Eine Kleine Nachtmusik,Mozart,,,
4402,100033,175,0.5,350,Eine Kleine Nachtmusik,,,,
4403,100033,180,0.5,360,Eine Kleine Nachtmusik,,,,
4501,100430,110,0.5,220,Solitary Awakening,Kyrene,,,
4502,100430,110,0.5,220,Solitary Awakening,,,,
4503,100430,110,0.5,220,Solitary Awakening,,,,
4601,100070,130,0.5,260,Simple Gifts,Joseph Brackett,,,
4602,100070,142,0.5,284,Simple Gifts,,,,
4603,100070,151,0.5,302,Simple Gifts,,,,
4701,100035,90,0.25,360,Etude Op.10 No.4,Chopin,,,
4702,100035,92,0.25,368,Etude Op.10 No.4,,,,
4703,100035,95,0.25,380,Etude Op.10 No.4,,,,
4801,100038,90,0.25,360,Prelude in E Major BWV 937,J.S. Bach,,,
4802,100038,92,0.25,368,Prelude in E Major BWV 937,,,,
4803,100038,95,0.25,380,Prelude in E Major BWV 937,,,,
4901,100343,120,0.5,240,Try,P!nk,,,
4902,100343,120,0.5,240,Try,,,,
4903,100343,120,0.5,240,Try,,,,
5001,100080,150,0.5,300,Sonata Pathetique Mvt.1,Beethoven,,,
5002,100080,165,0.5,330,Sonata Pathetique Mvt.1,,,,
5003,100080,177,0.5,354,Sonata Pathetique Mvt.1,,,,
5101,100041,90,0.25,360,The Entertainer,Scott Joplin,,,
5102,100041,92,0.25,368,The Entertainer,,,,
5103,100041,95,0.25,380,The Entertainer,,,,
5201,100044,90,0.25,360,American Patrol,Frank Meacham,,,
5202,100044,92,0.25,368,American Patrol,,,,
5203,100044,95,0.25,380,American Patrol,,,,
5301,100441,120,0.5,240,Stepping On The Rainy Street,The Daydream,,,
5302,100441,120,0.5,240,Stepping On The Rainy Street,,,,
5303,100441,120,0.5,240,Stepping On The Rainy Street,,,,
5401,100089,150,0.5,300,Lyric Waltz,Shostakovich,,,
5402,100089,165,0.5,330,Lyric Waltz,,,,
5403,100089,177,0.5,354,Lyric Waltz,,,,
5501,100058,45,0.125,360,Humoresque No.7,Antonin Dvorak,,,
5502,100058,46,0.125,368,Humoresque No.7,,,,
5503,100058,47,0.125,376,Humoresque No.7,,,,
5601,100028,93,0.25,372,G minor Bach,Luo Ni,,,
5602,100028,96,0.25,384,G minor Bach,,,,
5603,100028,98,0.25,392,G minor Bach,,,,
5701,100072,250,1,250,Yankee Doodle,American Folk Music,,,
5702,100072,130,0.5,260,Yankee Doodle,,,,
5703,100072,135,0.5,270,Yankee Doodle,,,,
5801,100103,280,1,280,The Skater's Waltz,Emil Waldteufel,,,
5802,100103,150,0.5,300,The Skater's Waltz,,,,
5803,100103,160,0.5,320,The Skater's Waltz,,,,
5901,100061,90,0.25,360,Xinjiang Suite,Adapted by Congfei Wei,,,
5902,100061,92,0.25,368,Xinjiang Suite,,,,
5903,100061,95,0.25,380,Xinjiang Suite,,,,
6001,100031,95,0.25,380,Sonata in C Major K545,Mozart,,,
6002,100031,98,0.25,392,Sonata in C Major K545,,,,
6003,100031,100,0.25,400,Sonata in C Major K545,,,,
6101,100176,115,0.5,230,Dreaming of Home and Mother,John Pond Ordway,,,
6102,100176,120,0.5,240,Dreaming of Home and Mother,,,,
6103,100176,125,0.5,250,Dreaming of Home and Mother,,,,
6201,100112,260,1,260,Sweet Bye and Bye,Walter,,,
6202,100112,150,0.5,300,Sweet Bye and Bye,,,,
6203,100112,165,0.5,330,Sweet Bye and Bye,,,,
6301,100064,360,1,360,Liebestraum No.3,Franz Liszt,,,
6302,100064,369,1,369,Liebestraum No.3,,,,
6303,100064,378,1,378,Liebestraum No.3,,,,
6401,100034,105,0.25,420,The Fountain,Carl Bohm,,,
6402,100034,110,0.25,440,The Fountain,,,,
6403,100034,115,0.25,460,The Fountain,,,,
6501,100074,250,1,250,Auf Flugeln Des Gesanges,Mendelssohn,,,
6502,100074,275,1,275,Auf Flugeln Des Gesanges,,,,
6503,100074,295,1,295,Auf Flugeln Des Gesanges,,,,
6601,100129,150,0.5,300,Tzigane Dance,Carl Bohm,,,
6602,100129,165,0.5,330,Tzigane Dance,,,,
6603,100129,177,0.5,354,Tzigane Dance,,,,
6701,100067,180,0.5,360,La Campanella,Franz Liszt,,,
6702,100067,185,0.5,370,La Campanella,,,,
6703,100067,189,0.5,378,La Campanella,,,,
6801,100036,100,0.25,400,Gypsy Rondo,Haydn,,,
6802,100036,103,0.25,412,Gypsy Rondo,,,,
6803,100036,105,0.25,420,Gypsy Rondo,,,,
6901,100704,69,0.25,276,Simple Gift,Miu weiwei,,,
6902,100704,69,0.25,276,Simple Gift,,,,
6903,100704,69,0.25,276,Simple Gift,,,,
7001,100145,150,0.5,300,Etude Op.34 No.10,Shostakovich,,,
7002,100145,160,0.5,320,Etude Op.34 No.10,,,,
7003,100145,90,0.25,360,Etude Op.34 No.10,,,,
7101,100081,180,0.5,360,Waltz in E minor,Chopin,,,
7102,100081,185,0.5,370,Waltz in E minor,,,,
7103,100081,189,0.5,378,Waltz in E minor,,,,
7201,100037,110,0.25,440,Spanish Dances,Shostakovich,,,
7202,100037,113,0.25,452,Spanish Dances,,,,
7203,100037,116,0.25,464,Spanish Dances,,,,
7301,100358,150,0.5,300,Spirits Of The Wetlands,Wu Judy Chin - tai,,,
7302,100358,152,0.5,304,Spirits Of The Wetlands,,,,
7303,100358,154,0.5,308,Spirits Of The Wetlands,,,,
7401,100148,240,1,240,Inventions No.15,J.S. Bach,,,
7402,100148,250,1,250,Inventions No.15,,,,
7403,100148,260,1,260,Inventions No.15,,,,
7501,100104,90,0.25,360,Breeze,Chinese Folk Music,,,
7502,100104,92,0.25,368,Breeze,,,,
7503,100104,95,0.25,380,Breeze,,,,
7601,100039,100,0.25,400,Sonata in A Major K331,Mozart,,,
7602,100039,103,0.25,412,Sonata in A Major K331,,,,
7603,100039,105,0.25,420,Sonata in A Major K331,,,,
7701,100661,90,0.5,180,Wiegenlied Op.49 No.4,Johannes Brahms,,,
7702,100661,94,0.5,188,Wiegenlied Op.49 No.4,,,,
7703,100661,98,0.5,196,Wiegenlied Op.49 No.4,,,,
7801,100157,145,0.5,290,Waltz No.16,Chopin,,,
7802,100157,154,0.5,308,Waltz No.16,,,,
7803,100157,160,0.5,320,Waltz No.16,,,,
7901,100113,90,0.25,360,Allemande,Handel,,,
7902,100113,92,0.25,368,Allemande,,,,
7903,100113,95,0.25,380,Allemande,,,,
8001,100040,115,0.25,460,Hungarian Dance No.5,Johannes Brahms,,,
8002,100040,118,0.25,472,Hungarian Dance No.5,,,,
8003,100040,242,0.5,484,Hungarian Dance No.5,,,,
8101,100087,140,0.5,280,Red River Valley,Canadian Folk Music,,,
8102,100087,145,0.5,290,Red River Valley,,,,
8103,100087,75,0.25,300,Red River Valley,,,,
8201,100166,75,0.25,300,Carnaval Op.9 No.14,Robert Schumann,,,
8202,100166,78,0.25,312,Carnaval Op.9 No.14,,,,
8203,100166,80,0.25,320,Carnaval Op.9 No.14,,,,
8301,100121,170,0.5,340,Sonata in F Major Mvt.3,Mozart,,,
8302,100121,177,0.5,354,Sonata in F Major Mvt.3,,,,
8303,100121,184,0.5,368,Sonata in F Major Mvt.3,,,,
8401,100042,100,0.25,400,Santa Lucia,Italian Folk Music,,,
8402,100042,103,0.25,412,Santa Lucia,,,,
8403,100042,105,0.25,420,Santa Lucia,,,,
8501,100432,75,0.25,300,Sitting Next To You,Handsome,,,
8502,100432,75,0.25,300,Sitting Next To You,,,,
8503,100432,75,0.25,300,Sitting Next To You,,,,
8601,100168,140,0.5,280,Bagpipe Dance,Leopold Mozart,,,
8602,100168,150,0.5,300,Bagpipe Dance,,,,
8603,100168,160,0.5,320,Bagpipe Dance,,,,
8701,100122,90,0.25,360,Etude Op.10 No.8,Chopin,,,
8702,100122,93,0.25,372,Etude Op.10 No.8,,,,
8703,100122,95,0.25,380,Etude Op.10 No.8,,,,
8801,100043,115,0.25,460,Horse Racing,Chinese Folk Music,,,
8802,100043,118,0.25,472,Horse Racing,,,,
8803,100043,242,0.5,484,Horse Racing,,,,
8901,100342,70,0.25,280,Free Loop,Daniel Powter,,,
8902,100342,70,0.25,280,Free Loop,,,,
8903,100342,70,0.25,280,Free Loop,,,,
9001,100178,120,0.5,240,The Happy Farmer,Robert Schumann,,,
9002,100178,127,0.5,254,The Happy Farmer,,,,
9003,100178,133,0.5,266,The Happy Farmer,,,,
9101,100130,160,0.5,320,Sonata in E minor Mvt.1,Haydn,,,
9102,100130,173,0.5,346,Sonata in E minor Mvt.1,,,,
9103,100130,182,0.5,364,Sonata in E minor Mvt.1,,,,
9201,100045,100,0.25,400,Sonata No.34 - Finale,Haydn,,,
9202,100045,103,0.25,412,Sonata No.34 - Finale,,,,
9203,100045,105,0.25,420,Sonata No.34 - Finale,,,,
9301,100314,300,1,300,Longing for Spring K596,Mozart,,,
9302,100314,316,1,316,Longing for Spring K596,,,,
9303,100314,332,1,332,Longing for Spring K596,,,,
9401,100184,300,1,300,The Wild Horseman,Robert Schumann,,,
9402,100184,315,1,315,The Wild Horseman,,,,
9403,100184,327,1,327,The Wild Horseman,,,,
9501,100131,90,0.25,360,Knecht Ruprecht,Robert Schumann,,,
9502,100131,93,0.25,372,Knecht Ruprecht,,,,
9503,100131,95,0.25,380,Knecht Ruprecht,,,,
9601,100046,115,0.25,460,Polka,Joseph Kuffner,,,
9602,100046,118,0.25,472,Polka,,,,
9603,100046,121,0.25,484,Polka,,,,
9701,100344,80,0.25,320,Bad Day,Daniel Powter,,,
9702,100344,80,0.25,320,Bad Day,,,,
9703,100344,80,0.25,320,Bad Day,,,,
9801,100185,300,1,300,Etude No.23,Cramer,,,
9802,100185,315,1,315,Etude No.23,,,,
9803,100185,327,1,327,Etude No.23,,,,
9901,100146,80,0.25,320,Fugue No.16 in G minor,J.S. Bach,,,
9902,100146,86,0.25,344,Fugue No.16 in G minor,,,,
9903,100146,91,0.25,364,Fugue No.16 in G minor,,,,
10001,100047,200,0.5,400,Minuet No.3,J.S. Bach,,,
10002,100047,205,0.5,410,Minuet No.3,,,,
10003,100047,210,0.5,420,Minuet No.3,,,,
10101,100437,160,0.5,320,If You Were By My Side,Chen-Chen Ho,,,
10102,100437,160,0.5,320,If You Were By My Side,,,,
10103,100437,160,0.5,320,If You Were By My Side,,,,
10201,100186,250,1,250,French Suite No.4-Gigue,J.S. Bach,,,
10202,100186,275,1,275,French Suite No.4-Gigue,,,,
10203,100186,295,1,295,French Suite No.4-Gigue,,,,
10301,100147,90,0.25,360,Sonata in D Major K284,Mozart,,,
10302,100147,92,0.25,368,Sonata in D Major K284,,,,
10303,100147,95,0.25,380,Sonata in D Major K284,,,,
10401,100048,220,0.5,440,Radetzky March,Johann Strauss,,,
10402,100048,226,0.5,452,Radetzky March,,,,
10403,100048,231,0.5,462,Radetzky March,,,,
10501,100594,150,0.5,300,Miss Fox,Luo Ni,,,
10502,100594,152,0.5,304,Miss Fox,,,,
10503,100594,154,0.5,308,Miss Fox,,,,
10601,100201,110,0.5,220,The Nightingale,Mikhail Glinka,,,
10602,100201,58,0.25,232,The Nightingale,,,,
10603,100201,125,0.5,250,The Nightingale,,,,
10701,100149,80,0.25,320,Etude Op.6 No.8,Franz Liszt,,,
10702,100149,86,0.25,344,Etude Op.6 No.8,,,,
10703,100149,91,0.25,364,Etude Op.6 No.8,,,,
10801,100049,115,0.25,460,Carmen Overture,Bizet,,,
10802,100049,118,0.25,472,Carmen Overture,,,,
10803,100049,121,0.25,484,Carmen Overture,,,,
10901,100350,160,0.5,320,Elves of Night,Wu Judy Chin - tai,,,
10902,100350,164,0.5,328,Elves of Night,,,,
10903,100350,168,0.5,336,Elves of Night,,,,
11001,100202,150,0.5,300,Gertrude's dream waltz,Beethoven,,,
11002,100202,158,0.5,316,Gertrude's dream waltz,,,,
11003,100202,164,0.5,328,Gertrude's dream waltz,,,,
11101,100158,160,0.5,320,WTC1 No.3,J.S. Bach,,,
11102,100158,166,0.5,332,WTC1 No.3,,,,
11103,100158,173,0.5,346,WTC1 No.3,,,,
11201,100050,100,0.25,400,Invention No.13,J.S. Bach,,,
11202,100050,103,0.25,412,Invention No.13,,,,
11203,100050,105,0.25,420,Invention No.13,,,,
11301,100466,170,0.5,340,Symphony No.5 Mvt.1,Beethoven,,,
11302,100466,174,0.5,348,Symphony No.5 Mvt.1,,,,
11303,100466,178,0.5,356,Symphony No.5 Mvt.1,,,,
11401,100203,150,0.5,300,Loure,J.S. Bach,,,
11402,100203,158,0.5,316,Loure,,,,
11403,100203,164,0.5,328,Loure,,,,
11501,100159,90,0.25,360,Der Vogelfaenger bin ich ja,Mozart,,,
11502,100159,92,0.25,368,Der Vogelfaenger bin ich ja,,,,
11503,100159,95,0.25,380,Der Vogelfaenger bin ich ja,,,,
11601,100051,100,0.25,400,Sonatina Op.36-3,Clementi,,,
11602,100051,103,0.25,412,Sonatina Op.36-3,,,,
11603,100051,105,0.25,420,Sonatina Op.36-3,,,,
11701,100412,85,0.25,340,Interplanetary Wandering,Chen-Chen Ho,,,
11702,100412,85,0.25,340,Interplanetary Wandering,,,,
11703,100412,85,0.25,340,Interplanetary Wandering,,,,
11801,100210,100,0.5,200,Craving for the Spring Wind,Yuxian Deng,,,
11802,100210,106,0.5,212,Craving for the Spring Wind,,,,
11803,100210,112,0.5,224,Craving for the Spring Wind,,,,
11901,100167,170,0.5,340,Arabesque Op.76 No.9,Jean Sibelius,,,
11902,100167,177,0.5,354,Arabesque Op.76 No.9,,,,
11903,100167,184,0.5,368,Arabesque Op.76 No.9,,,,
12001,100052,115,0.25,460,William Tell Overture,Gioachino Rossini,,,
12002,100052,118,0.25,472,William Tell Overture,,,,
12003,100052,121,0.25,484,William Tell Overture,,,,
12101,100697,95,0.25,380,Smile Smile Smile,Jeon Su Yeon,,,
12102,100697,96,0.25,384,Smile Smile Smile,,,,
12103,100697,97,0.25,388,Smile Smile Smile,,,,
12201,100179,78,0.25,312,Variations of Paganini,Berkovich,,,
12202,100179,81,0.25,324,Variations of Paganini,,,,
12203,100179,84,0.25,336,Variations of Paganini,,,,
12301,100180,90,0.25,360,Penguin's Game,Unknown,,,
12302,100180,92,0.25,368,Penguin's Game,,,,
12303,100180,95,0.25,380,Penguin's Game,,,,
12401,100059,110,0.25,440,Moonlight Sonata Mvt.3,Beethoven,,,
12402,100059,113,0.25,452,Moonlight Sonata Mvt.3,,,,
12403,100059,116,0.25,464,Moonlight Sonata Mvt.3,,,,
12501,100212,70,0.25,280,Sonata in C Major K330 Mvt.1,Mozart,,,
12502,100212,41,0.125,328,Sonata in C Major K330 Mvt.1,,,,
12503,100212,45,0.125,360,Sonata in C Major K330 Mvt.1,,,,
12601,100211,85,0.25,340,Neopolitan Dance,Tchaikovsky,,,
12602,100211,93,0.25,372,Neopolitan Dance,,,,
12603,100211,101,0.25,404,Neopolitan Dance,,,,
12701,100062,110,0.25,440,Fantaisie - Impromptu,Chopin,,,
12702,100062,113,0.25,452,Fantaisie - Impromptu,,,,
12703,100062,116,0.25,464,Fantaisie - Impromptu,,,,
12801,100221,90,0.25,360,Album Leaf,Kirchner,,,
12802,100221,98,0.25,392,Album Leaf,,,,
12803,100221,106,0.25,424,Album Leaf,,,,
12901,100065,100,0.25,400,Appassionata Mvt.3,Beethoven,,,
12902,100065,103,0.25,412,Appassionata Mvt.3,,,,
12903,100065,105,0.25,420,Appassionata Mvt.3,,,,
13001,100068,105,0.25,420,Solfeggietto,C.P.E.Bach,,,
13002,100068,107,0.25,428,Solfeggietto,,,,
13003,100068,110,0.25,440,Solfeggietto,,,,
13101,100219,70,0.25,280,Invention No.2,J.S. Bach,,,
13102,100219,74,0.25,296,Invention No.2,,,,
13103,100219,78,0.25,312,Invention No.2,,,,
13201,100071,100,0.25,400,Hungarian Rhapsody No.6,Franz Liszt,,,
13202,100071,103,0.25,412,Hungarian Rhapsody No.6,,,,
13203,100071,105,0.25,420,Hungarian Rhapsody No.6,,,,
13301,100082,100,0.25,400,Clarinet Polka,Prohaska,,,
13302,100082,103,0.25,412,Clarinet Polka,,,,
13303,100082,105,0.25,420,Clarinet Polka,,,,
13401,100220,130,0.5,260,Hands Across The Sea,Sousa,,,
13402,100220,138,0.5,276,Hands Across The Sea,,,,
13403,100220,146,0.5,292,Hands Across The Sea,,,,
13501,100222,90,0.25,360,Moment Musical Op.94 No.4,Schubert,,,
13502,100222,92,0.25,368,Moment Musical Op.94 No.4,,,,
13503,100222,94,0.25,376,Moment Musical Op.94 No.4,,,,
13601,100085,100,0.25,400,Sonatina Op.88 No.3,Kuhlau,,,
13602,100085,103,0.25,412,Sonatina Op.88 No.3,,,,
13603,100085,105,0.25,420,Sonatina Op.88 No.3,,,,
13701,100232,72,0.25,288,Searchlight Rag,Scott Joplin,,,
13702,100232,76,0.25,304,Searchlight Rag,,,,
13703,100232,80,0.25,320,Searchlight Rag,,,,
13801,100233,80,0.25,320,Bach Piano Concerto No.1,J.S. Bach,,,
13802,100233,84,0.25,336,Bach Piano Concerto No.1,,,,
13803,100233,88,0.25,352,Bach Piano Concerto No.1,,,,
13901,100090,100,0.25,400,Rondo A Capriccio Op.129,Beethoven,,,
13902,100090,103,0.25,412,Rondo A Capriccio Op.129,,,,
13903,100090,105,0.25,420,Rondo A Capriccio Op.129,,,,
14001,100105,110,0.25,440,Etude de Virtuosite in E,Moszkowski,,,
14002,100105,113,0.25,452,Etude de Virtuosite in E,,,,
14003,100105,116,0.25,464,Etude de Virtuosite in E,,,,
14101,100114,100,0.25,400,Goldberg Variations,J.S. Bach,,,
14102,100114,103,0.25,412,Goldberg Variations,,,,
14103,100114,105,0.25,420,Goldberg Variations,,,,
14201,100132,100,0.25,400,Sonatina Op.88 No.3 Mvt.3,Kuhlau,,,
14202,100132,103,0.25,412,Sonatina Op.88 No.3 Mvt.3,,,,
14203,100132,105,0.25,420,Sonatina Op.88 No.3 Mvt.3,,,,
14301,100240,200,1,200,Walzer,FR.Bell,,,
14302,100240,216,1,216,Walzer,,,,
14303,100240,232,1,232,Walzer,,,,
14401,100241,86,0.25,344,Lively Spring Festival,Unknown,,,
14402,100241,88,0.25,352,Lively Spring Festival,,,,
14403,100241,90,0.25,360,Lively Spring Festival,,,,
14501,100242,90,0.25,360,Etude Op.740 No.31,Czerny,,,
14502,100242,94,0.25,376,Etude Op.740 No.31,,,,
14503,100242,98,0.25,392,Etude Op.740 No.31,,,,
14601,100253,160,0.5,320,Melody,Robert Schumann,,,
14602,100253,168,0.5,336,Melody,,,,
14603,100253,176,0.5,352,Melody,,,,
14701,100254,160,0.5,320,Etude Op.37 No.29,H. Lemoine,,,
14702,100254,168,0.5,336,Etude Op.37 No.29,,,,
14703,100254,176,0.5,352,Etude Op.37 No.29,,,,
14801,100150,48,0.125,384,Etude Op.849 No.16,Czerny,,,
14802,100150,49,0.125,392,Etude Op.849 No.16,,,,
14803,100150,51,0.125,408,Etude Op.849 No.16,,,,
14901,100263,140,0.5,280,Heather Rose,G. Lange,,,
14902,100263,144,0.5,288,Heather Rose,,,,
14903,100263,148,0.5,296,Heather Rose,,,,
15001,100223,100,0.25,400,Romanian Folk Dances No.6,Bela Bartok,,,
15002,100223,102,0.25,408,Romanian Folk Dances No.6,,,,
15003,100223,104,0.25,416,Romanian Folk Dances No.6,,,,
15101,100231,60,0.125,480,3 Ecossaises Op.72 No.3,Chopin,,,
15102,100231,62,0.125,496,3 Ecossaises Op.72 No.3,,,,
15103,100231,64,0.125,512,3 Ecossaises Op.72 No.3,,,,
15201,100252,150,0.5,300,Market,Gullit,,,
15202,100252,158,0.5,316,Market,,,,
15203,100252,166,0.5,332,Market,,,,
15301,100266,100,0.25,400,Palm Leaf Rag,Scott Joplin,,,
15302,100266,102,0.25,408,Palm Leaf Rag,,,,
15303,100266,104,0.25,416,Palm Leaf Rag,,,,
15401,100281,210,0.5,420,Soldaten Marsch,Robert Schumann,,,
